
manuals,blogs,empty,googleplay,standard,
1 to 3,1.0,0.00,0.00,0.00,0.00,
1 to 13,1.0,0.00,0.00,0.00,0.00,
1 to 26,1.0,0.00,0.00,0.00,0.00,
1 to 64,0.75,0.25,0.00,0.00,0.00,
1 to 127,0.3779527559055118,0.3779527559055118,0.1889763779527559,0.05511811023622047,0.00,
1 to 190,0.25263157894736843,0.25263157894736843,0.12631578947368421,0.25263157894736843,0.11578947368421053,

fast,glove,w2v,wm,es,js,bert,nnlm,use,random,
1 to 3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
1 to 13,0.3076923076923077,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.00,0.00,0.00,0.00,0.00,0.00,
1 to 26,0.2692307692307692,0.2692307692307692,0.23076923076923078,0.23076923076923078,0.00,0.00,0.00,0.00,0.00,0.00,
1 to 64,0.25,0.25,0.25,0.25,0.00,0.00,0.00,0.00,0.00,0.00,
1 to 127,0.2047244094488189,0.2047244094488189,0.2047244094488189,0.1968503937007874,0.09448818897637795,0.09448818897637795,0.00,0.00,0.00,0.00,
1 to 190,0.20526315789473684,0.20526315789473684,0.20526315789473684,0.20526315789473684,0.06315789473684211,0.06315789473684211,0.021052631578947368,0.015789473684210527,0.015789473684210527,0.00,

atm_d,craftdroid_d,intersection,union,
1 to 3,1.0,0.00,0.00,0.00,
1 to 13,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.07692307692307693,
1 to 26,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.15384615384615385,
1 to 64,0.25,0.25,0.25,0.25,
1 to 127,0.2677165354330709,0.25984251968503935,0.23622047244094488,0.23622047244094488,
1 to 190,0.2578947368421053,0.2578947368421053,0.2578947368421053,0.22631578947368422,

atm_a,craftdroid_a,semfinder_a,adaptdroid_a,random,
1 to 3,1.0,0.00,0.00,0.00,0.00,
1 to 13,1.0,0.00,0.00,0.00,0.00,
1 to 26,0.6153846153846154,0.38461538461538464,0.00,0.00,0.00,
1 to 64,0.5,0.25,0.25,0.00,0.00,
1 to 127,0.3700787401574803,0.31496062992125984,0.31496062992125984,0.00,0.00,
1 to 190,0.4105263157894737,0.29473684210526313,0.29473684210526313,0.00,0.00,
