algorithm,descriptors,training_set,word_embedding,top1,MRR
custom,intersection,empty,edit_distance,0.534124629,0.722191016
custom,intersection,empty,jaccard,0.513353116,0.713185735
custom,union,empty,edit_distance,0.560830861,0.729021026
custom,union,empty,jaccard,0.56379822,0.746854179
atm_0,atm,googleplay,fast,0.510385757,0.706031383
atm_0,atm,googleplay,glove,0.519287834,0.711757581
atm_0,atm,googleplay,w2v,0.519287834,0.70835577
atm_0,atm,googleplay,wm,0.608308605,0.762631338
atm_0,craftdroid,googleplay,fast,0.409495549,0.630133322
atm_0,craftdroid,googleplay,glove,0.415430267,0.635048509
atm_0,craftdroid,googleplay,w2v,0.40652819,0.623776707
atm_0,craftdroid,googleplay,wm,0.507418398,0.715183766
atm_0,intersection,googleplay,fast,0.504451039,0.706564102
atm_0,intersection,googleplay,glove,0.489614243,0.696643171
atm_0,intersection,googleplay,w2v,0.504451039,0.705131524
atm_0,intersection,googleplay,wm,0.578635015,0.750397587
atm_0,union,googleplay,fast,0.403560831,0.623817458
atm_0,union,googleplay,glove,0.418397626,0.6370872
atm_0,union,googleplay,w2v,0.397626113,0.616502492
atm_0,union,googleplay,wm,0.489614243,0.711545005
craftdroid,atm,googleplay,fast,0.545994065,0.723470719
craftdroid,atm,googleplay,glove,0.519287834,0.699433463
craftdroid,atm,googleplay,w2v,0.575667656,0.734973379
craftdroid,atm,googleplay,wm,0.587537092,0.746769102
craftdroid,craftdroid,googleplay,fast,0.474777448,0.670109975
craftdroid,craftdroid,googleplay,glove,0.46884273,0.66084439
craftdroid,craftdroid,googleplay,w2v,0.489614243,0.677040936
craftdroid,craftdroid,googleplay,wm,0.513353116,0.6958901
craftdroid,intersection,googleplay,fast,0.53115727,0.715795621
craftdroid,intersection,googleplay,glove,0.49851632,0.690521966
craftdroid,intersection,googleplay,w2v,0.540059347,0.720522811
craftdroid,intersection,googleplay,wm,0.56379822,0.734073045
craftdroid,union,googleplay,fast,0.50148368,0.677057363
craftdroid,union,googleplay,glove,0.495548961,0.669237777
craftdroid,union,googleplay,w2v,0.516320475,0.686948618
craftdroid,union,googleplay,wm,0.522255193,0.696137379
custom,atm,googleplay,fast,0.557863501,0.736909367
custom,atm,googleplay,glove,0.557863501,0.724977756
custom,atm,googleplay,w2v,0.578635015,0.749527218
custom,atm,googleplay,wm,0.670623145,0.795891209
custom,craftdroid,googleplay,fast,0.548961424,0.737632419
custom,craftdroid,googleplay,glove,0.543026706,0.726458566
custom,craftdroid,googleplay,w2v,0.554896142,0.744862989
custom,craftdroid,googleplay,wm,0.623145401,0.77049275
custom,intersection,googleplay,fast,0.534124629,0.727342443
custom,intersection,googleplay,glove,0.522255193,0.708404096
custom,intersection,googleplay,w2v,0.554896142,0.738997377
custom,intersection,googleplay,wm,0.617210682,0.771865857
custom,union,googleplay,fast,0.590504451,0.747761166
custom,union,googleplay,glove,0.581602374,0.735145287
custom,union,googleplay,w2v,0.599406528,0.756831028
custom,union,googleplay,wm,0.649851632,0.77295361
atm_0,atm,standard,bert,0.551928783,0.716390687
atm_0,atm,standard,fast,0.543026706,0.727510442
atm_0,atm,standard,glove,0.548961424,0.728963361
atm_0,atm,standard,nnlm,0.590504451,0.738480206
atm_0,atm,standard,use,0.617210682,0.760503807
atm_0,atm,standard,w2v,0.551928783,0.730700679
atm_0,atm,standard,wm,0.617210682,0.76537099
atm_0,craftdroid,standard,bert,0.445103858,0.653876332
atm_0,craftdroid,standard,fast,0.430267062,0.638173347
atm_0,craftdroid,standard,glove,0.412462908,0.627259058
atm_0,craftdroid,standard,nnlm,0.486646884,0.703984045
atm_0,craftdroid,standard,use,0.504451039,0.702462701
atm_0,craftdroid,standard,w2v,0.403560831,0.629574916
atm_0,craftdroid,standard,wm,0.489614243,0.700912975
atm_0,intersection,standard,bert,0.504451039,0.690836562
atm_0,intersection,standard,fast,0.522255193,0.719464024
atm_0,intersection,standard,glove,0.53115727,0.721192947
atm_0,intersection,standard,nnlm,0.548961424,0.725363827
atm_0,intersection,standard,use,0.56379822,0.732168975
atm_0,intersection,standard,w2v,0.522255193,0.719731927
atm_0,intersection,standard,wm,0.569732938,0.743051203
atm_0,union,standard,bert,0.442136499,0.655497556
atm_0,union,standard,fast,0.462908012,0.655528331
atm_0,union,standard,glove,0.421364985,0.630209283
atm_0,union,standard,nnlm,0.471810089,0.695644824
atm_0,union,standard,use,0.537091988,0.718371042
atm_0,union,standard,w2v,0.433234421,0.644601896
atm_0,union,standard,wm,0.465875371,0.692245526
craftdroid,atm,standard,bert,0.522255193,0.689822069
craftdroid,atm,standard,fast,0.548961424,0.7144792
craftdroid,atm,standard,glove,0.548961424,0.717027003
craftdroid,atm,standard,nnlm,0.569732938,0.71711995
craftdroid,atm,standard,use,0.566765579,0.724117961
craftdroid,atm,standard,w2v,0.534124629,0.707339707
craftdroid,atm,standard,wm,0.56379822,0.723783912
craftdroid,craftdroid,standard,bert,0.462908012,0.654899942
craftdroid,craftdroid,standard,fast,0.465875371,0.662329862
craftdroid,craftdroid,standard,glove,0.480712166,0.66990658
craftdroid,craftdroid,standard,nnlm,0.486646884,0.669047169
craftdroid,craftdroid,standard,use,0.513353116,0.690365184
craftdroid,craftdroid,standard,w2v,0.483679525,0.675963828
craftdroid,craftdroid,standard,wm,0.507418398,0.68650535
craftdroid,intersection,standard,bert,0.486646884,0.6730612
craftdroid,intersection,standard,fast,0.528189911,0.706358998
craftdroid,intersection,standard,glove,0.53115727,0.708067001
craftdroid,intersection,standard,nnlm,0.534124629,0.703147457
craftdroid,intersection,standard,use,0.551928783,0.717869659
craftdroid,intersection,standard,w2v,0.513353116,0.698873314
craftdroid,intersection,standard,wm,0.545994065,0.713518263
craftdroid,union,standard,bert,0.474777448,0.65612029
craftdroid,union,standard,fast,0.495548961,0.669310221
craftdroid,union,standard,glove,0.510385757,0.680979207
craftdroid,union,standard,nnlm,0.504451039,0.671767676
craftdroid,union,standard,use,0.543026706,0.69864767
craftdroid,union,standard,w2v,0.513353116,0.684475521
craftdroid,union,standard,wm,0.510385757,0.687363657
custom,atm,standard,bert,0.59347181,0.73265391
custom,atm,standard,fast,0.608308605,0.75715753
custom,atm,standard,glove,0.554896142,0.727418581
custom,atm,standard,nnlm,0.637982196,0.76135351
custom,atm,standard,use,0.658753709,0.776731661
custom,atm,standard,w2v,0.581602374,0.74649967
custom,atm,standard,wm,0.670623145,0.788772192
custom,craftdroid,standard,bert,0.519287834,0.693606925
custom,craftdroid,standard,fast,0.540059347,0.729393994
custom,craftdroid,standard,glove,0.522255193,0.714800987
custom,craftdroid,standard,nnlm,0.614243323,0.751732256
custom,craftdroid,standard,use,0.623145401,0.76068395
custom,craftdroid,standard,w2v,0.519287834,0.718624775
custom,craftdroid,standard,wm,0.62611276,0.766266855
custom,intersection,standard,bert,0.540059347,0.702102583
custom,intersection,standard,fast,0.560830861,0.737236473
custom,intersection,standard,glove,0.525222552,0.716220326
custom,intersection,standard,nnlm,0.608308605,0.74827173
custom,intersection,standard,use,0.605341246,0.753084077
custom,intersection,standard,w2v,0.551928783,0.735482299
custom,intersection,standard,wm,0.602373887,0.751349174
custom,union,standard,bert,0.537091988,0.70294913
custom,union,standard,fast,0.581602374,0.741596611
custom,union,standard,glove,0.56379822,0.728020681
custom,union,standard,nnlm,0.646884273,0.758780152
custom,union,standard,use,0.637982196,0.759220613
custom,union,standard,w2v,0.56379822,0.731698167
custom,union,standard,wm,0.65578635,0.776087053
adaptdroid_0,atm,standard,use,0.56379822,0.69604801
adaptdroid_0,intersection,standard,use,0.554896142,0.68987211
adaptdroid_0,craftdroid,googleplay,wm,0.554896142,0.68704681
adaptdroid_0,atm,standard,fast,0.53115727,0.68664455
adaptdroid_0,atm,googleplay,wm,0.551928783,0.683759
adaptdroid_0,intersection,googleplay,wm,0.551928783,0.68284961
adaptdroid_0,union,googleplay,wm,0.554896142,0.68186869
adaptdroid_0,intersection,standard,fast,0.519287834,0.68071761
adaptdroid_0,craftdroid,standard,use,0.545994065,0.67805133
adaptdroid_0,union,standard,use,0.540059347,0.67438988
adaptdroid_0,atm,standard,w2v,0.525222552,0.67331223
